Public Values,,,,,,,,,,,,Hidden Values,,,,,,,,,,,,,,,,Lookup Values,
ID,Heritage,Ranking,Stock,Talent,Gender,Animal,Skin Name,Name,Father's Name,Mother's Name,Class,Father ID,Mother ID,Distance Preference,Consistency,,,,,,,,,,,,,Cluck Number,Skin No
1,Serama,1,Spicy,Pitfall,Hen,Chicken,CommonColourB,,--,--,Unclassed,0,0,100,5.58,,,,,,,,,,,,,2,2
2,Serama,1,Robust,Growth,Rooster,Chicken,CommonColourA,,--,--,Unclassed,0,0,100,5.91,,,,,,,,,,,,,8,1
3,Serama,2,Fresh,Anvil,Hen,Chicken,UncommonColourA,,--,--,Unclassed,0,0,120,5.73,,,,,,,,,,,,,16,7
4,Serama,3,Crisp,Flight,Rooster,Chicken,UncommonColourB,,--,--,Unclassed,0,0,220,8.53,,,,,,,,,,,,,9,8
5,Serama,4,Tender,Energy Drink,Hen,Chicken,CommonColourA,,--,--,Unclassed,0,0,140,8.65,,,,,,,,,,,,,7,1
6,Serama,5,Bland,Trebuchet,Rooster,Chicken,RareColourA,,--,--,Unclassed,0,0,240,6.21,,,,,,,,,,,,,1,10
7,Serama,6,Spicy,Glue Trap,Hen,Chicken,CommonColourB,,--,--,Unclassed,0,0,100,6.31,,,,,,,,,,,,,3,2
8,Serama,7,Spicy,Runny Egg,Rooster,Chicken,CommonColourF,,--,--,Unclassed,0,0,160,7.22,,,,,,,,,,,,,7,6
9,Serama,8,Spicy,Tunnel,Hen,Chicken,CommonColourB,,--,--,Unclassed,0,0,180,8.56,,,,,,,,,,,,,16,2
10,Serama,9,Spicy,Blue Egg,Rooster,Chicken,CommonColourB,,--,--,Unclassed,0,0,120,7.80,,,,,,,,,,,,,5,2
11,Serama,10,Spicy,Fan Group,Hen,Chicken,UncommonColourA,,--,--,Unclassed,0,0,200,9.86,,,,,,,,,,,,,1,7
12,Orpington,1,Spicy,Helicopter,Rooster,Chicken,UncommonColourC,,--,--,Unclassed,0,0,200,8.20,,,,,,,,,,,,,4,9
13,Orpington,1,Spicy,Dinosaur Form,Hen,Chicken,CommonColourA,,--,--,Unclassed,0,0,180,5.96,,,,,,,,,,,,,19,1
14,Orpington,2,Robust,Cold Snap,Rooster,Chicken,CommonColourC,,--,--,Unclassed,0,0,100,8.19,,,,,,,,,,,,,8,3
15,Orpington,3,Fresh,Black Hole,Hen,Chicken,CommonColourF,,--,--,Unclassed,0,0,240,7.59,,,,,,,,,,,,,18,6
16,Orpington,4,Crisp,Pitfall,Rooster,Chicken,CommonColourC,,--,--,Unclassed,0,0,120,5.70,,,,,,,,,,,,,4,3
17,Orpington,5,Tender,Growth,Hen,Chicken,RareColourA,,--,--,Unclassed,0,0,240,8.91,,,,,,,,,,,,,14,10
18,Orpington,6,Bland,Anvil,Rooster,Chicken,SuperRareColourA,,--,--,Unclassed,0,0,220,9.62,,,,,,,,,,,,,10,12
19,Orpington,7,Spicy,Flight,Hen,Chicken,CommonColourF,,--,--,Unclassed,0,0,240,5.02,,,,,,,,,,,,,13,6
20,Orpington,8,Spicy,Energy Drink,Rooster,Chicken,CommonColourC,,--,--,Unclassed,0,0,120,7.77,,,,,,,,,,,,,8,3
21,Orpington,9,Spicy,Trebuchet,Hen,Chicken,UncommonColourB,,--,--,Unclassed,0,0,180,9.79,,,,,,,,,,,,,2,8
